"Date","sm"
"20150101",25.4375
"20150102",25.225
"20150103",24.9125
"20150104",24.775
"20150105",24.6
"20150106",24.5875
"20150107",24.15
"20150108",23.8875
"20150109",23.425
"20150110",23.1625
"20150111",22.6875
"20150112",22.45
"20150113",22.125
"20150114",21.95
"20150115",21.825
"20150116",21.7625
"20150117",21.65
"20150118",21.5875
"20150119",21.4
"20150120",21.4625
"20150121",21.5125
"20150122",21.55
"20150123",21.275
"20150124",21.3
"20150125",21.375
"20150126",21.25
"20150127",21.275
"20150128",21.15
"20150129",21
"20150130",21.175
"20150131",21.1
"20150201",21.225
"20150202",21.0875
"20150203",21.1625
"20150204",21.0125
"20150205",20.925
"20150206",21.025
"20150207",20.8875
"20150208",20.8
"20150209",20.9375
"20150210",20.65
"20150211",20.5625
"20150212",20.675
"20150213",20.675
"20150214",20.4875
"20150215",20.5375
"20150216",20.5875
"20150217",20.7375
"20150218",20.475
"20150219",20.475
"20150220",20.3
"20150221",20.5125
"20150222",20.3375
"20150223",20.375
"20150224",20.125
"20150225",20.1
"20150226",20.2
"20150227",20.3875
"20150228",26.525
"20150301",26.5125
"20150302",26.075
"20150303",26.0625
"20150304",25.7875
"20150305",32.8
"20150306",30.575
"20150307",29.8
"20150308",29.425
"20150309",29.0125
"20150310",28.75
"20150311",28.325
"20150312",28.05
"20150313",27.875
"20150314",27.5875
"20150315",27.2125
"20150316",27.2125
"20150317",27.025
"20150318",26.7
"20150319",26.225
"20150320",26.1125
"20150321",25.575
"20150322",24.8875
"20150323",24.5375
"20150324",24.0625
"20150325",23.675
"20150326",23.425
"20150327",23.1625
"20150328",23
"20150329",22.875
"20150330",22.6
"20150331",22.5125
"20150401",22.4625
"20150402",22.5
"20150403",22.2875
"20150404",22.2
"20150405",22.2375
"20150406",31.75
"20150407",32.975
"20150408",33.25
"20150409",32.025
"20150410",33.2125
"20150411",32.55
"20150412",33.5875
"20150413",34.0375
"20150414",33.75
"20150415",34.0125
"20150416",32.6875
"20150417",34.25
"20150418",32.5875
"20150419",32.3
"20150420",31.6875
"20150421",31.175
"20150422",30.875
"20150423",30.475
"20150424",30.5
"20150425",34.85
"20150426",33.1875
"20150427",34.325
"20150428",33.15
"20150429",32.25
"20150430",32.375
"20150501",31.7125
"20150502",31.175
"20150503",34.025
"20150504",32.975
"20150505",31.8625
"20150506",31.2125
"20150507",30.675
"20150508",29.9375
"20150509",29.025
"20150510",28.825
"20150511",28.5625
"20150512",28.65
"20150513",33.9
"20150514",32.0375
"20150515",31.9375
"20150516",31.725
"20150517",33.9375
"20150518",35.125
"20150519",33.5875
"20150520",32.825
"20150521",32
"20150522",31.7
"20150523",31.2625
"20150524",31.075
"20150525",30.7875
"20150526",30.425
"20150527",30.125
"20150528",32.7625
"20150529",31.975
"20150530",33.2875
"20150531",32.1
"20150601",31.6625
"20150602",31.3625
"20150603",34.5625
"20150604",35.0875
"20150605",33.5125
"20150606",32.375
"20150607",33.9875
"20150608",32.45
"20150609",31.7375
"20150610",31.35
"20150611",30.9875
"20150612",30.75
"20150613",30.3375
"20150614",32.2875
"20150615",32.0875
"20150616",33.65
"20150617",35.0375
"20150618",33.05
"20150619",33.775
"20150620",34.1875
"20150621",34.2
"20150622",33.85
"20150623",38.025
"20150624",34.1125
"20150625",33.225
"20150626",35.775
"20150627",35.5125
"20150628",33.125
"20150629",32.5
"20150630",34
"20150701",32.85
"20150702",32.175
"20150703",31.475
"20150704",30.7625
"20150705",30.4125
"20150706",29.7375
"20150707",29.0125
"20150708",24.325
"20150709",27.825
"20150710",35.2875
"20150711",35.1375
"20150712",34.25
"20150713",33.2125
"20150714",34.2
"20150715",37.45
"20150716",34.7
"20150717",33.925
"20150718",34.9875
"20150719",35.3
"20150720",35.1875
"20150721",33.725
"20150722",33.2125
"20150723",34.05
"20150724",33.6375
"20150725",32.775
"20150726",32.25
"20150727",31.3625
"20150728",30.75
"20150729",30.1375
"20150730",28.95
"20150731",32.3625
"20150801",31.5875
"20150802",31.025
"20150803",35.4375
"20150804",34.975
"20150805",33.575
"20150806",33.7375
"20150807",33.025
"20150808",32.675
"20150809",31.8625
"20150810",38.525
"20150811",36.4625
"20150812",34.2
"20150813",33.3875
"20150814",33.15
"20150815",32.2
"20150816",34.575
"20150817",36.9125
"20150818",35.4125
"20150819",33.8
"20150820",34.975
"20150821",33.7
"20150822",38.95
"20150823",35.75
"20150824",33.725
"20150825",33.0125
"20150826",32.175
"20150827",31.5625
"20150828",30.5625
"20150905",26.05
"20150906",25.9375
"20150907",25.75
"20150908",25.6125
"20150909",25.4
"20150910",25.3
"20150911",25.1125
"20150912",24.95
"20150913",24.7375
"20150914",24.4875
"20150915",24.1
"20150916",23.9125
"20150917",23.6125
"20150918",23.475
"20150919",23.2875
"20150920",23.225
"20150921",22.9875
"20150922",22.8
"20150923",22.7875
"20150924",22.5625
"20150925",32.9125
"20150926",31.2875
"20150927",30.375
"20150928",35.0125
"20150929",34.5375
"20150930",33.6
"20151001",32.6
"20151002",34.7375
"20151003",33.5125
"20151004",32.9875
"20151005",36.875
"20151006",35.6875
"20151007",34.1875
"20151008",33.425
"20151009",32.45
"20151010",32.0375
"20151011",31.7875
"20151012",36.1625
"20151013",34.175
"20151014",33.6875
"20151015",32.5125
"20151016",32.125
"20151017",-499981.825
"20151031",33.8375
"20151101",33.075
"20151102",32.375
"20151103",34.3
"20151104",35.45
"20151105",36.4125
"20151106",34.5125
"20151107",33.1125
"20151108",33.75
"20151109",33.125
"20151110",36.5875
"20151111",-249970.65
"20151112",35.25
"20151113",-124967.775
"20151114",-499981.075
"20151115",-499981.375
"20151116",-374976.6875
"20151117",-374976.3375
"20151118",-374976.5125
"20151119",-374976.9375
"20151120",-374973.725
"20151121",-374976.4375
"20151122",-374976.6875
"20151123",-374976.875
"20151124",-374976.875
"20151125",-374976.9375
"20151126",-374977.1875
"20151127",-374977.25
"20151128",-374977.2875
"20151129",-374977.2375
"20151130",-374974.2
"20151201",-374975.9375
"20151202",-374976.4125
"20151203",-374974.7625
"20151204",-374976.0125
"20151205",-374976.275
"20151206",36
"20151207",34.9625
"20151208",34.325
"20151209",33.6625
"20151210",33.3
"20151211",35.4875
"20151212",34.2375
"20151213",33.75
"20151214",33.6125
"20151215",33.075
"20151216",32.95
"20151217",32.375
"20151218",34.0875
"20151219",33.25
"20151220",33.075
"20151221",32.8125
"20151222",32.55
"20151223",32.275
"20151224",32.075
"20151225",33.6875
"20151226",33.175
"20151227",33.075
"20151228",32.8375
"20151229",32.3
"20151230",32.15
"20151231",32.5125
"20160101",33.1875
"20160102",34
"20160103",33.425
"20160104",33.3875
"20160105",33.0625
"20160106",32.75
"20160107",32.35
"20160108",32.5875
"20160109",32.325
"20160110",35.075
"20160111",33.725
"20160112",32.625
"20160113",35.45
"20160114",33.55
"20160115",33.05
"20160116",32.625
"20160117",32.375
"20160118",32.25
"20160119",33.25
"20160120",33
"20160121",32.7
"20160122",35.6375
"20160123",34.225
"20160124",33.4375
"20160125",33.1
"20160126",32.85
"20160127",32.675
"20160128",33.9875
"20160129",33.05
"20160130",32.7625
"20160131",34.3625
"20160201",33.525
"20160202",33.1125
"20160203",32.45
"20160204",32.3375
"20160205",32.0875
"20160206",37.8125
"20160207",34.1375
"20160208",33.3
"20160209",33
"20160210",32.75
"20160211",32.55
