"Date","sm"
"20151031",16.6566666666667
"20151101",27.4125
"20151102",25.3
"20151103",24.45
"20151104",27.1
"20151105",27.625
"20151106",32.075
"20151107",29.875
"20151108",28.8
"20151109",30.525
"20151110",30.125
"20151111",34.6875
"20151112",33.2375
"20151113",31.5
"20151114",31.0625
"20151115",29.9875
"20151116",29.15
"20151117",30.0375
"20151118",30.15
"20151119",29.5125
"20151120",31.625
"20151124",32.11875
"20151125",32.7375
"20151126",31.975
"20151127",30.8125
"20151128",29.9625
"20151129",28.7
"20151130",27.6125
"20151201",30.85
"20151202",30.9375
"20151203",31.0125
"20151204",31.8
"20151205",31.475
"20151206",30.525
"20151207",30.075
"20151208",29.2375
"20151209",28.6125
"20151210",28.0375
"20151211",28.9
"20151212",27.95
"20151213",27.3
"20151214",26.2125
"20151215",25.1875
"20151216",24.2375
"20151217",22.7875
"20151218",21.025
"20151220",18.7125
"20151221",16.5125
"20151222",15.4125
"20151223",14.25
"20151224",13.5125
"20151225",12.975
"20151226",12.4625
"20151227",12.2
"20151228",12.025
"20151229",12.175
"20151230",11.6125
"20151231",11.425
"20160101",11.1625
"20160102",10.9125
"20160103",10.825
"20160104",10.8
"20160105",10.6625
"20160106",10.4
"20160107",10.6
"20160108",10.8375
"20160109",10.425
"20160110",10.55
"20160111",10.275
"20160112",10.2375
"20160113",10.1375
"20160114",10
"20160115",9.9125
"20160116",10.05
"20160119",10.0208333333333
"20160120",10.1625
"20160121",10.2125
"20160122",10.4125
"20160123",10.3
"20160124",10.4375
"20160125",10.4
"20160126",10.3
"20160127",10.1875
"20160128",10.0375
"20160130",10.01875
"20160131",9.95
"20160201",9.9
"20160202",9.525
"20160203",9.5125
"20160204",9.4125
"20160205",9.5875
"20160206",9.5125
"20160207",9.475
"20160208",9.625
"20160209",9.7
"20160210",9.675
"20160211",9.5625
"20160212",9.4875
"20160213",9.5375
"20160214",9.575
"20160215",9.375
"20160219",9.296875
"20160220",9.2875
"20160221",9.5125
"20160222",9.6
"20160223",9.6125
"20160224",9.3875
"20160225",9.1125
"20160226",9.2125
"20160227",9.175
"20160228",8.9625
"20160229",9.075
"20160301",8.95
"20160302",8.7875
"20160303",8.8125
"20160304",8.725
"20160305",8.5375
"20160306",8.5875
"20160307",8.6125
"20160308",8.675
"20160309",8.4875
"20160310",8.475
"20160311",8.35
"20160312",8.5
"20160313",8.45
"20160314",8.55
"20160315",8.5375
"20160316",8.3625
"20160317",8.35
"20160320",8.325
"20160321",8.2625
"20160322",8.2
"20160323",8.25
"20160324",8.15
"20160325",8.1
"20160326",7.975
"20160327",7.775
"20160328",7.6625
"20160329",7.7125
"20160330",7.6875
"20160331",7.7375
"20160401",7.725
"20160402",7.7
"20160403",7.6
"20160404",7.6
"20160405",7.5125
"20160406",7.625
"20160407",7.55
"20160408",7.675
"20160409",7.65
"20160410",8.025
"20160411",7.7625
"20160412",7.75
"20160413",7.8
"20160414",7.65
"20160415",7.525
"20160416",7.575
"20160419",7.5125
"20160420",7.3875
"20160421",7.425
"20160422",7.6
"20160423",7.275
"20160424",7.4375
"20160425",7.45
"20160426",7.3
"20160427",7.45
"20160428",7.275
"20160429",7.1375
"20160430",7.15
"20160501",7.125
"20160502",7.225
"20160503",6.825
"20160504",6.85
"20160505",7.075
"20160507",7.125
"20160508",7.2375
"20160509",7.275
"20160510",7.075
"20160511",7
"20160512",7.1375
"20160513",8.45
"20160514",9.25
"20160515",23.675
"20160517",26.35
"20160518",24.8625
"20160519",23.8375
"20160520",23.675
"20160521",23.6625
"20160522",23.3125
"20160523",23.05
"20160524",22.7875
"20160525",22.5375
"20160526",23.0375
"20160527",22.95
"20160528",28.975
"20160529",26.975
"20160530",25.6625
"20160531",28.025
"20160601",29.5625
"20160602",29.8
"20160603",28.525
"20160604",27.6
"20160605",26.9125
"20160606",26.45
"20160607",25.8625
"20160608",25.4
"20160609",25.1375
"20160610",24.925
"20160611",24.3875
"20160612",24.1375
"20160614",26.63125
"20160615",32.275
"20160616",29.2
"20160617",27.95
"20160618",28.5
"20160619",30.3125
"20160620",30.45
"20160621",29.275
"20160622",28.45
"20160623",28.0875
"20160624",28.65
"20160625",27.9125
"20160626",31.375
"20160627",31
"20160628",29.975
"20160629",30.425
"20160630",29.8625
"20160701",30.2625
"20160702",30.4
"20160703",28.5375
"20160704",27.4
"20160705",26.9
"20160706",26.0125
"20160707",24.7875
"20160708",23.275
"20160709",21.9
"20160710",19.9
"20160711",18.4875
"20160712",17.575
"20160713",16.4875
"20160714",15.6
"20160715",14.9
"20160716",14.4
"20160717",14.45
"20160718",14.2
"20160719",13.875
"20160720",13.7
"20160721",13.675
"20160722",14
"20160723",14.25
"20160724",14.5
"20160725",14.45
"20160726",21.2
"20160727",22.2125
"20160728",26.675
"20160729",33.2375
"20160730",30.4625
"20160731",29.4
"20160801",28.125
"20160802",26.95
"20160803",25.85
"20160804",25
"20160805",23.625
"20160806",22.65
"20160807",20.25
"20160808",19.5
"20160809",18.075
"20160810",17.225
"20160811",16.825
"20160812",16.275
"20160813",16
"20160814",15.35
"20160815",15.125
"20160816",14.95
"20160817",14.975
"20160818",15
"20160819",15.3
"20160820",15.3
"20160821",15.1375
"20160822",15.0875
"20160823",14.8625
"20160824",14.6375
"20160825",14.125
"20160826",13.975
"20160827",13.875
"20160828",13.8875
"20160829",14.025
"20160830",13.9875
"20160831",14.15
"20160901",14.65
"20160902",15.025
"20160904",14.775
"20160905",14.7875
"20160906",14.6125
"20160907",14.325
"20160908",14.2
"20160909",14.1375
"20160910",13.8625
"20160911",13.5125
"20160912",13.575
"20160913",13.3625
"20160914",13.2
"20160915",12.8375
"20160916",12.625
"20160917",12.825
"20160918",12.425
"20160919",12.375
"20160920",12.225
"20160921",12.1125
"20160922",12.15
"20160923",11.7375
"20160924",11.75
"20160925",11.475
"20160926",11.3875
"20160927",11.3875
"20160928",11.5625
"20160929",12.025
"20160930",12.2625
"20161002",12.125
"20161003",11.75
"20161004",11.8
"20161005",11.6375
"20161006",11.475
"20161007",11.4
"20161008",11.025
"20161009",11.25
"20161010",11.15
"20161011",10.9625
"20161012",11.2
"20161013",28.8125
"20161014",30.3
"20161015",29.0875
"20161016",28.125
"20161017",26.85
"20161018",26.1625
"20161019",25.325
"20161020",24.8125
"20161021",24.2625
"20161022",23.85
"20161023",23.4375
"20161024",23.025
"20161025",22.725
"20161026",22.4375
"20161027",21.95
"20161028",21.5375
"20161103",20.4958333333333
"20161104",19.9875
"20161105",19.85
"20161106",19.4125
"20161107",18.975
"20161108",18.55
"20161109",18.1
"20161110",17.3125
"20161111",16.9375
"20161112",16.3
"20161113",15.925
"20161114",15.4
"20161115",14.875
"20161116",14.6375
"20161117",14.525
"20161118",14.4125
"20161119",14.0125
"20161120",13.8
"20161121",13.75
"20161122",13.5375
"20161123",13.25
"20161124",13.2375
"20161125",12.875
"20161126",12.8625
"20161127",12.6125
"20161128",12.4375
"20161129",12.4125
"20161130",12.4
"20161201",12.35
"20161202",12.5
"20161203",12.7
"20161204",12.5625
"20161205",13.2
"20161206",13.275
"20161207",13.2375
"20161208",13.625
"20161210",13.00625
"20161211",12.6
"20161212",12.8
"20161213",33.25
"20161214",30.375
"20161215",29.5875
"20161216",28.6375
"20161217",28.0125
"20161218",27.2
"20161219",26.275
"20161220",25.475
"20161221",25.1125
"20161222",24.55
"20161223",23.8875
"20161224",23.325
"20161225",22.7375
"20161226",22.2375
"20161227",21.675
"20161228",21
"20161229",20.225
"20161230",19.8125
"20161231",18.9875
"20170101",18.375
"20170102",17.4
"20170103",16.825
"20170104",15.95
"20170105",15.5875
"20170106",14.925
"20170107",14.5625
"20170108",14.125
"20170109",14.0625
"20170110",26.175
"20170111",25.9
"20170112",25.05
"20170113",24.525
"20170114",23.8875
"20170115",23.1375
"20170116",22.575
"20170117",21.5625
"20170118",20.7875
"20170119",19.825
"20170120",18.875
"20170121",18.15
"20170122",17.625
"20170123",16.75
"20170124",16.35
"20170125",15.95
"20170126",27.225
"20170127",27.125
"20170128",26.9
"20170129",26.45
"20170130",25.85
"20170131",24.9625
"20170201",24.0875
"20170202",22.9
"20170203",21.75
"20170204",20.9
"20170205",20.075
"20170206",18.5
"20170207",17.6
"20170208",16.7
"20170209",16.1
"20170210",15.55
"20170211",14.9
"20170212",14.85
"20170213",14.45
"20170214",14.1
"20170215",13.85
"20170216",13.65
"20170217",13.625
"20170218",13.4
"20170219",12.875
"20170220",12.8
"20170221",12.75
"20170222",12.65
"20170223",12.475
"20170224",12.4
"20170225",12.25
"20170226",12.375
"20170227",12.25
"20170228",11.95
"20170301",11.825
"20170302",11.6
"20170303",11.675
"20170304",32.95
"20170305",28.85
"20170306",27.6
"20170307",27.5
"20170308",26.3
"20170309",26.325
"20170310",26.2
"20170311",25.3
"20170312",25
"20170313",25.25
"20170314",25.05
"20170315",24.875
"20170316",26.85
"20170317",27
"20170318",26.95
"20170319",26.9
