"Date","sm"
"20150711",0.23
"20150803",17.05
"20150804",17
"20150805",16.775
"20150806",16.75
"20150807",16.7
"20150808",16.7125
"20150809",16.4375
"20150810",16.5
"20150811",16.2
"20150812",16.3375
"20150813",16.1125
"20150814",16.1
"20150815",16.225
"20150816",16.05
"20150818",18.5
"20150819",20.075
"20150820",19.35
"20150821",19.125
"20150822",18.775
"20150823",18.45
"20150824",18.3
"20150825",18.3
"20150826",18.05
"20150827",18.225
"20150828",17.925
"20150829",17.7
"20150830",17.7375
"20150831",17.175
"20150901",17.1625
"20150902",16.525
"20150903",16.325
"20150904",15.625
"20150905",26.2375
"20150906",23.7375
"20150907",20.525
"20150908",20.425
"20150909",20.35
"20150910",20.275
"20150911",20.1
"20150912",19.3
"20150913",19.6
"20150914",19.375
"20150915",19.15
"20150916",18.8875
"20150917",18.725
"20150918",18.45
"20150919",18.375
"20150920",18.05
"20150921",17.825
"20150922",17.6375
"20150923",17.3
"20150924",17.2
"20150925",16.7625
"20150926",16.7
"20150927",16.7
"20150928",16.4375
"20150929",23.1375
"20150930",20.7
"20151001",19.875
"20151002",20.7875
"20151003",20.3
"20151004",19.7375
"20151005",19.2125
"20151006",18.775
"20151007",18.15
"20151008",17.8375
"20151009",17.2375
"20151010",16.75
"20151011",16.175
"20151012",15.125
"20151013",27.5875
"20151014",23
"20151015",21.25
"20151016",19.975
"20151017",19.05
"20151018",17.9875
"20151019",17.075
"20151020",16.175
"20151021",17.05
"20151022",16.55
"20151023",16
"20151024",15.4375
"20151025",14.7
"20151026",14.7
"20151027",14.375
"20151028",14.2125
"20151029",13.975
"20151030",20.025
"20151031",19.2375
"20151101",23.3
"20151102",20.4625
"20151103",20.45
"20151104",23.475
"20151105",21.4125
"20151106",24.1625
"20151107",22.325
"20151108",21
"20151109",23.0375
"20151110",23.4625
"20151111",25.2375
"20151112",25.3125
"20151113",22.4
"20151114",22.9
"20151115",21.3625
"20151116",20.575
"20151117",21.2
"20151118",21.375
"20151119",21.175
"20151120",21.2375
"20151121",25.2875
"20151122",22.1375
"20151123",21.3
"20151124",20.85
"20151125",20.7375
"20151126",20.4
"20151127",19.925
"20151128",19.775
"20151130",19.40625
"20151201",25.725
"20151202",22.55
"20151203",21.5
"20151204",24.6125
"20151205",22.45
"20151206",21.625
"20151207",21.1
"20151208",20.65
"20151209",20.325
"20151210",19.975
"20151211",19.7375
"20151212",19.5625
"20151213",19.35
"20151214",19.15
"20151215",18.85
"20151216",18.725
"20151217",18.35
"20151218",17.9
"20151219",17.75
"20151220",17.525
"20151221",17.3125
"20151222",16.9
"20151223",16.825
"20151224",16.425
"20151225",16.25
"20151226",15.825
"20151227",15.6625
"20151230",14.9791666666667
"20151231",14.15
"20160101",13.775
"20160102",13.2125
"20160103",12.725
"20160104",12.275
"20160105",11.85
"20160106",11.5125
"20160107",11.075
"20160108",10.575
"20160109",10.2875
"20160110",10.0625
"20160111",9.8125
"20160112",9.425
"20160113",9.1875
"20160114",9.075
"20160115",8.7625
"20160116",8.6
"20160117",8.375
"20160118",8.2875
"20160119",8.1125
"20160120",8.15
"20160121",7.7875
"20160122",8.05
"20160123",8.15
"20160124",8.075
"20160125",8.0875
"20160126",8.325
"20160127",8.375
"20160128",8.275
