"Date","sm"
"20160514",20.475
"20160515",20.5125
"20160516",20.625
"20160517",20.9
"20160518",20.6875
"20160519",20.85
"20160520",21
"20160521",21.1125
"20160522",21.4625
"20160523",21.95
"20160524",42.975
"20160525",39.85
"20160526",37.45
"20160527",36.25
"20160528",35.225
"20160529",34
"20160530",32.6
"20160531",32.45
"20160601",34.6
"20160602",38.1
"20160603",37.675
"20160604",36.325
"20160605",36.2
"20160606",36.775
"20160607",35.55
"20160608",35.3
"20160609",37.35
"20160610",38.3
"20160611",36.8
"20160612",36.8
"20160613",36.25
"20160614",36.05
"20160615",35.5
"20160616",35.9
"20160617",35.75
"20160618",35.35
"20160619",35.55
"20160620",35.875
"20160621",36.6
"20160622",35.725
"20160624",35.5125
"20160625",35.3
"20160626",36.2
"20160627",38.85
"20160628",40.3
"20160629",41.45
"20160630",41.275
"20160701",41.2
"20160702",40.35
"20160703",40.2
"20160704",42.4
"20160705",41
"20160706",40.6
"20160707",41.2
"20160708",40.2
"20160709",40.8
"20160710",39.9
"20160711",42.225
"20160712",41.275
"20160713",40.25
"20160714",40.2
"20160715",39.775
"20160716",39.175
"20160717",38.8
"20160718",38.7
"20160719",38.4
"20160720",38.15
"20160721",38.425
"20160723",38.7125
"20160724",38.6
"20160725",38.7
"20160726",39.125
"20160727",37.775
"20160728",37.75
"20160729",43.3
"20160730",42.125
"20160731",42.1
"20160801",40.95
"20160802",40.9
"20160803",39.95
"20160804",39.9
"20160805",40.6
"20160806",41.25
"20160807",40.825
"20160808",40.8
"20160809",39.65
"20160810",38.7
"20160811",38.65
"20160812",37.7
"20160813",36.6
"20160814",38.65
"20160815",37.85
"20160816",37.1
"20160817",36.7
"20160818",36.85
"20160819",36.4
"20160821",35.8875
"20160822",35.2
"20160823",34.525
"20160824",34
"20160825",33.325
"20160826",32.9
"20160827",32.325
"20160828",31.425
"20160829",31.3
"20160830",30.4
"20160831",30.55
"20160901",34.175
"20160902",36.1
"20160903",35.3
"20160904",35.1
"20160905",35
"20160906",34.5
"20160907",33.95
"20160908",34.075
"20160909",33.075
"20160910",32.275
"20160911",31
"20160912",30.6
"20160913",29.8
"20160914",28.9
"20160915",28.4
"20160916",31.325
"20160917",32.3
"20160920",32.1666666666667
"20160921",31.675
"20160922",32.275
"20160923",33.1
"20160924",32.7
"20160925",32.9
"20160926",34.2
"20160927",34.15
"20160928",33.7
"20160929",34.1
"20160930",34.6
"20161001",34.3
"20161002",33.65
"20161003",33.825
"20161004",34.025
"20161005",33.875
"20161006",33.7
"20161007",32.9
"20161008",32.85
"20161009",32.825
"20161010",32.6
"20161011",32.4
"20161012",32.075
"20161013",32.075
"20161014",31.75
"20161015",31.6
"20161016",31.5
"20161019",31.1416666666667
"20161020",30.775
"20161021",30.75
"20161022",30.6
"20161023",30.9
"20161024",30.8
"20161025",30.85
"20161026",30.75
"20161027",30.6
"20161028",30.25
"20161103",29.475
"20161104",28.7
"20161105",28.3
"20161106",27.8
"20161107",27.65
"20161108",26.925
"20161109",27.025
"20161110",26.675
"20161111",26.2
"20161112",25.9
"20161113",25.85
"20161114",25.4
