"Date","sm"
"20160515",10.55
"20160516",10.05
"20160517",9.95
"20160518",9.475
"20160519",14.125
"20160520",14.55
"20160521",12.2
"20160522",11.375
"20160523",10.9
"20160524",10.4375
"20160525",9.575
"20160526",9.0375
"20160527",8.8
"20160528",8.2
"20160529",15.45
"20160530",11.6
"20160531",10.2
"20160601",9.375
"20160602",13.6375
"20160603",11.6
"20160604",10.175
"20160605",9.3
"20160606",8.7375
"20160607",7.6875
"20160608",7
"20160609",13.35
"20160610",12.225
"20160611",10.75
"20160612",9.9
"20160613",11.2125
"20160614",10.3625
"20160615",12.775
"20160616",12.5
"20160617",10.9375
"20160618",10.35
"20160619",9.75
"20160620",9.65
"20160621",9.375
"20160622",9.7875
"20160623",15.1625
"20160624",12.875
"20160625",13.7
"20160626",13.25
"20160627",11.9875
"20160628",11.35
"20160629",15.1875
"20160630",14.475
"20160701",12.7625
"20160702",14.5875
"20160703",12.6375
"20160704",11.65
"20160705",14.95
"20160706",12.8
"20160707",14.8375
"20160708",12.85
"20160709",12.0375
"20160710",11.1875
"20160711",10.3625
"20160712",9.6
"20160713",8.725
"20160714",8.475
"20160715",7.775
"20160716",15.1
"20160717",16.0625
"20160718",16.0125
"20160719",13.05
"20160720",11.9875
"20160721",15.95
"20160722",16.0875
"20160723",13.7
"20160724",16.425
"20160725",15.8875
"20160726",18.5
"20160727",17.8375
"20160728",18.775
"20160729",19.9625
"20160730",16.6625
"20160731",16.275
"20160801",13.9375
"20160802",13.075
"20160803",12.4625
"20160804",11.8
"20160805",11.4375
"20160806",10.8625
"20160807",10.475
"20160808",10.375
"20160809",10
"20160810",9.675
"20160811",9.05
"20160812",8.65
"20160813",11.375
"20160814",10.85
"20160815",15.275
"20160816",12.8
"20160817",11.65
"20160818",10.7
"20160819",9.9375
"20160820",10.1
"20160821",9.6375
"20160822",9.375
"20160823",9.075
"20160824",14.6375
"20160825",12.2875
"20160826",14.275
"20160827",12.4
"20160828",15.25
"20160829",12.95
"20160830",11.8125
"20160831",15.6875
