"Date","sm"
"20160515",9.6375
"20160516",7.8
"20160517",7
"20160518",5.975
"20160519",5
"20160520",4.1875
"20160521",3.475
"20160522",2.2
"20160523",0.75
"20160524",0.5
"20160525",0.625
"20160526",0.3375
"20160527",0.4
"20160528",0.35
"20160529",0.3
"20160530",4.625
"20160531",5.6375
"20160601",3.375
"20160602",1.625
"20160603",1.0375
"20160604",0.525
"20160605",0.45
"20160606",7.2
"20160607",5.5125
"20160608",4.2625
"20160609",6.2875
"20160610",6.95
"20160611",5.675
"20160612",4.7125
"20160613",5.75
"20160614",5.1
"20160615",3.9125
"20160616",2.725
"20160617",5.325
"20160618",4.25
"20160619",3.3125
"20160620",2.425
"20160621",1.8
"20160622",1.65
"20160623",8.35
"20160624",8.075
"20160625",6.975
"20160626",6.175
"20160627",5.425
"20160628",4.6
"20160629",3.8375
"20160630",6.0375
"20160701",5.1875
"20160702",4.175
"20160703",3.3
"20160704",2.825
"20160705",2.625
"20160706",1.9
"20160707",1.75
"20160708",1.775
"20160709",1.35
"20160710",0.95
"20160711",0.8125
"20160712",0.7625
"20160713",0.5625
"20160714",0.55
"20160715",0.35
"20160716",0.35
"20160717",0.5
"20160718",0.3
"20160719",3.9875
"20160720",4.025
"20160721",5.1125
"20160722",5.3375
"20160723",4.3
"20160724",5.35
"20160725",4.425
"20160726",5.4625
"20160727",8.4375
"20160728",11.1
"20160729",12.1625
"20160730",10.525
"20160731",9.9
"20160801",9.2625
"20160802",8.75
"20160803",7.85
"20160804",7.1
"20160805",6.3875
"20160806",5.5125
"20160807",4.875
"20160808",3.7375
"20160809",3.1125
"20160810",2.4
"20160811",2.0875
"20160812",1.6
"20160813",1.25
"20160814",1.1
"20160815",1.1375
"20160816",10.675
"20160817",10.125
"20160818",9.5125
"20160819",11.325
"20160820",10.1875
"20160821",9.2875
"20160822",9.2375
"20160824",7.84375
"20160825",6.8125
"20160826",6.15
"20160827",5.4
"20160828",7.75
"20160829",6.5125
"20160830",6.925
"20160831",9.95
"20160902",10.0625
"20160903",8.825
"20160904",8.6
"20160905",7.975
"20160906",7.7375
"20160907",10.55
"20160908",9.2875
"20160909",8.775
"20160910",12.9
"20160911",9.6
"20160912",8.8375
"20160913",8.325
"20160914",7.575
"20160915",6.875
"20160916",5.975
"20160917",5
"20160918",3.9
"20160919",2.95
"20160920",2.0375
"20160921",1.8625
"20160922",1.4875
"20160923",1.3625
"20160924",1.3
"20160925",1.1
"20160926",1.0875
"20160927",0.775
"20160928",1.05
"20160929",0.725
"20160930",0.7625
"20161001",0.6375
"20161002",0.5
"20161003",0.5
"20161004",0.6875
"20161005",0.55
