"Date","sm"
"20160514",13.0875
"20160515",13.8375
"20160516",14.575
"20160517",14.875
"20160518",15.0125
"20160519",14.4625
"20160520",14.15
"20160521",13.85
"20160522",14.45
"20160523",14.6625
"20160524",14.65
"20160525",14.3
"20160526",13.95
"20160527",13.725
"20160528",13.4875
"20160529",13.425
"20160530",13.2875
"20160531",13.1125
"20160601",13.275
"20160602",29.7625
"20160603",26.425
"20160604",25.05
"20160605",24.475
"20160606",23.6625
"20160607",29.4875
"20160608",26.8875
"20160609",32.75
"20160610",31.975
"20160611",32.55
"20160612",31.425
"20160613",29.4875
"20160614",29
"20160615",28.05
"20160616",26.85
"20160617",26.7125
"20160618",26.025
"20160619",31.0125
"20160620",29.3375
"20160621",28.05
"20160622",27.2125
"20160623",30.3625
"20160624",30.225
"20160625",31.7625
"20160626",32.7375
"20160627",34.4125
"20160628",34.4125
"20160629",36.275
"20160630",35.0875
"20160701",34.05
"20160702",34.4125
"20160703",33.9375
"20160704",35.35
"20160705",37.1125
"20160706",37.1
"20160707",35.6
"20160708",34.2
"20160709",32.4
"20160710",31.7125
"20160711",35.9875
"20160712",33.9
"20160713",32.6375
"20160714",33.0375
"20160715",33.65
"20160716",32.2875
"20160717",25.6
"20160718",26.025
"20160719",25.85
"20160720",25.175
"20160721",28.75
"20160722",30.0875
"20160723",30.4125
"20160724",29.975
"20160725",28.85
"20160726",27
"20160727",26.175
"20160728",30.1125
"20160729",31.5875
"20160730",32.75
"20160731",33.025
"20160801",31.35
"20160802",30.9375
"20160803",29.525
"20160804",28.6875
"20160805",31.6
"20160806",33.1125
"20160807",31.925
"20160808",30.7
"20160809",29.2
"20160810",28.25
"20160811",27.525
"20160812",27.85
"20160813",27.875
"20160814",27.6875
"20160815",27
"20160816",26.7625
"20160817",28.5
"20160818",27.5
"20160819",28.55
"20160820",29.05
"20160821",27.65
"20160822",26.65
"20160823",25.3875
"20160824",27.4125
"20160825",26.15
"20160826",31.2125
"20160827",28.8625
"20160828",32.475
"20160829",34.125
"20160830",31.475
"20160831",32.7
"20160901",33.6875
"20160902",32.55
"20160903",31.5375
"20160904",30.6125
"20160905",32.175
"20160906",30.45
"20160907",29.7
"20160908",29.375
"20160909",29.05
"20160910",27.4
"20160911",25.775
"20160912",23.9
"20160913",22.5875
"20160914",22.15
"20160915",34.7
"20160916",32.175
"20160917",32.0875
"20160918",30.175
"20160919",28.4
"20160920",26.675
"20160921",25.5875
"20160922",25.15
"20160923",25.2875
"20160924",30.6125
"20160925",35.8
"20160926",34.1125
"20160927",33.1
"20160928",31.55
"20160929",32.95
"20160930",32.8125
"20161001",31.2
"20161002",29.2
"20161003",27.2
"20161004",25.7625
"20161005",23.8125
"20161006",22.75
"20161007",21.775
"20161008",21.3375
"20161009",20.5125
"20161010",20.225
"20161011",19.7875
"20161012",19.675
"20161013",24.4125
"20161014",25.325
"20161015",23.075
"20161016",21.25
"20161017",19.8125
"20161018",19.1875
"20161019",18.175
"20161020",17.5625
"20161021",17.175
"20161022",16.875
"20161023",16.75
"20161024",16.125
"20161025",15.9625
"20161026",15.775
"20161027",15.225
"20161028",14.9625
"20161103",14.31875
"20161104",13.6875
"20161105",13.525
"20161106",13.15
"20161107",13.025
"20161108",12.775
"20161109",12.5625
