"Date","sm"
"20160523",26.7
"20160524",26.3
"20160525",26.05
"20160526",26.1
"20160527",25.35
"20160528",25.1
"20160529",24.425
"20160530",23.4
"20160531",23.2
"20160601",22.175
"20160602",21.6
"20160603",25.375
"20160604",24.825
"20160605",24.55
"20160606",23.75
"20160607",24.125
"20160608",25.9
"20160609",25.15
"20160610",32.675
"20160611",29.05
"20160612",27.95
"20160613",27.3
"20160614",26.125
"20160615",25.5
"20160616",25.5
"20160617",25.325
"20160618",24.725
"20160619",26.35
"20160620",29.25
"20160621",28.55
"20160622",29.75
"20160623",30.525
"20160624",29.2
"20160626",28.05
"20160627",28.6
"20160628",28.35
"20160629",30
"20160630",29.8
"20160701",29.2
"20160702",28.1
"20160703",28
"20160704",27.7
"20160705",27.5
"20160706",26.7
"20160707",26.3
"20160708",25.85
"20160709",25.4
"20160710",26.6
"20160711",25.5
"20160712",25.025
"20160713",25.725
"20160714",25.75
"20160715",25.55
"20160716",25.45
"20160717",25.45
"20160718",25.4
"20160719",25
"20160720",25.2
"20160721",24.925
"20160722",26.4
"20160724",27.925
"20160725",29.25
"20160726",28.5
"20160727",29
"20160728",31.2
"20160729",29.4
"20160730",28.9
"20160731",29.1
"20160801",28.8
"20160802",29.15
"20160803",28.7
"20160804",28.475
"20160805",28.3
"20160806",28
"20160807",27.65
"20160808",27.45
"20160809",27.1
"20160810",27.1
"20160811",26.775
"20160812",26.45
"20160813",26.325
"20160814",25.8
"20160815",25.25
"20160816",24.8
"20160817",24
"20160818",23.2
"20160819",22.25
"20160820",20.875
"20160821",20.3
"20160822",19.725
"20160823",19.15
"20160824",18.65
"20160825",18.9
"20160826",19.1
"20160827",19.1
"20160828",18.9
"20160829",18.2
"20160830",18.1
"20160831",25.4
"20160901",25.2
"20160902",24.575
"20160903",24.2
"20160904",24.125
"20160905",23.6
"20160906",22.95
"20160907",22.575
"20160908",21.95
"20160909",21
"20160910",19.8
"20160911",19.15
"20160912",18.65
"20160913",18.2
"20160914",18.2
"20160915",27.8
"20160916",26.725
"20160917",26
"20160918",25.4
"20160919",24.65
"20160920",23.95
"20160921",23.65
"20160922",23.15
"20160923",22.9
"20160924",22.2
"20160925",27.85
"20160926",28.625
"20160927",27.4
"20160928",26.7
"20160929",29.75
"20160930",27.9
"20161001",26.65
"20161002",26.3
"20161003",24.9
"20161004",24.4
"20161005",23.6
"20161006",22.9
"20161007",22
"20161008",20.6
"20161009",20.425
"20161010",23.525
"20161011",24.7
"20161012",24
"20161013",23.725
"20161014",22.1
"20161015",21.125
"20161016",20.275
"20161017",19.25
"20161018",18.675
"20161019",17.75
"20161020",17.25
"20161021",16.15
"20161022",15.7
"20161023",15.55
"20161024",15.3
"20161025",15
"20161026",14.45
"20161027",14.25
"20161028",13.7
"20161103",13.2125
"20161104",12.3
"20161105",12.05
"20161106",11.95
"20161107",11.95
"20161108",11.5
"20161109",11.3
"20161110",11.25
"20161111",10.75
"20161112",10.925
"20161113",11.025
"20161114",11
"20161115",11.225
"20161116",11.225
"20161117",11.15
"20161118",10.85
"20161119",11
"20161120",10.725
"20161121",11.05
"20161122",10.725
"20161123",10.7
"20161124",10.4
"20161125",10.3
"20161126",10.4
"20161127",10.5
"20161128",10.1
"20161129",10.3
"20161130",10.3
"20161201",10.2
"20161202",10.2
"20161203",10.2
"20161204",10.5
"20161205",10.3666666666667
"20161206",10.1
"20161207",10.2
"20161208",9.9
"20161209",9.8
"20161210",10
"20161211",9.9
"20161212",9.675
"20161213",10.1
"20161214",9.95
"20161215",10.2666666666667
"20161216",9.9
"20161217",10.4
"20161218",9.7
"20161219",9.8
"20161220",9.6
"20161221",9.7
"20161222",9.8
"20161223",9.45
"20161224",9.6
"20161225",9.7
"20161226",9.5
"20161227",9.6
"20161228",9.7
"20161229",9.1
"20161230",9.3
"20161231",9.3
"20170101",9.3
"20170102",9.3
"20170103",9.4
"20170104",9.2
"20170105",9.2
"20170106",9.225
"20170107",9.1
"20170108",9.1
"20170109",9.35
"20170110",9.2
"20170111",9.15
"20170112",9.1
"20170113",9.1
"20170114",9.35
"20170115",9.15
"20170116",9.4
"20170117",9.15
"20170118",9.025
"20170119",8.925
"20170120",8.95
"20170121",8.925
"20170122",8.725
"20170123",9.3
"20170124",8.925
"20170125",9.05
"20170126",9.1
"20170127",8.75
"20170129",9.1
"20170131",8.7375
"20170201",9.05
"20170202",8.8
"20170203",8.95
"20170204",8.85
"20170205",8.4
"20170206",8.325
"20170207",8.35
"20170209",8.45
"20170210",8.4
"20170211",8.25
"20170212",8.1
"20170213",8.4
"20170214",8
"20170215",8.15
"20170216",7.95
"20170217",7.825
"20170218",8.025
"20170219",8.15
"20170220",7.875
"20170221",7.775
"20170222",7.9
"20170223",7.325
"20170224",7.6
"20170225",7.5
"20170226",7.45
"20170227",7.1
"20170228",6.8
"20170301",6.95
"20170302",7.15
"20170304",6.8375
"20170305",6.975
"20170306",6.6
"20170307",6.725
"20170309",6.625
"20170310",6.85
"20170311",6.6
"20170312",6.35
"20170313",6.475
"20170314",6.2
"20170315",6.6
"20170316",6.6
"20170317",6.85
"20170318",6.6
"20170319",6.6
"20170320",6.575
"20170321",6.5
"20170322",6.5
"20170323",6.5
"20170324",6.55
"20170325",6.1
"20170326",6.65
"20170327",6.7
"20170328",6.6
"20170329",6.4
"20170330",6.4
"20170331",6.7
"20170401",6.15
"20170402",6.7
"20170403",6.5
"20170404",6.2
"20170405",6.7
"20170406",6.4
"20170407",6.4
"20170408",6.25
"20170409",6.1
"20170410",6.1
"20170411",6.45
"20170412",6.375
"20170413",6.25
"20170414",6.25
"20170415",6.3
"20170416",6.2
"20170417",6.275
"20170418",6.35
"20170419",6.3
"20170420",6.05
"20170421",6.1
"20170422",6.4
"20170423",6.1
"20170424",6.1
"20170425",6.375
"20170426",6.3
"20170427",5.925
"20170428",5.9
"20170429",26.85
"20170430",25.7
"20170501",25.2
"20170502",24.85
"20170503",24.75
"20170504",24.05
"20170505",23.8
"20170506",23.2
"20170507",22.7
"20170508",21.675
"20170509",21.275
"20170510",20.725
"20170511",19.9
"20170512",18.85
"20170513",17.75
"20170514",16.925
"20170515",16.45
"20170516",17.7
"20170517",18
"20170518",17.9
"20170519",17.375
"20170520",16.8
"20170521",16.075
"20170522",15.15
"20170523",14.8
"20170524",14.4
"20170525",13.675
"20170526",13.3
"20170527",13.15
"20170528",12.55
"20170529",12.675
"20170530",12.3
"20170531",12.3
"20170601",11.9
"20170603",11.9625
"20170604",11.8
"20170605",11.35
"20170606",11.35
"20170607",34.225
"20170608",28.05
"20170609",30.45
"20170610",28
"20170611",27.175
"20170612",26.825
