"Date","sm"
"20160528",14.875
"20160529",14.975
"20160530",14.975
"20160531",14.625
"20160601",14.7
"20160602",14.6
"20160603",14.45
"20160604",14.5
"20160605",29.55
"20160606",30
"20160607",30.55
"20160608",34.425
"20160609",34.4
"20160610",33.025
"20160611",32.6
"20160612",32.9
"20160613",32.55
"20160614",32
"20160615",30.95
"20160616",31.45
"20160617",30.95
"20160618",31.475
"20160619",41.25
"20160620",44.7
"20160621",51.325
"20160622",48.2
"20160623",45.9
"20160624",45.55
"20160625",44.275
"20160626",44.6
"20160627",44.35
"20160628",43.175
"20160629",45.6
"20160630",45.575
"20160701",45.95
"20160702",44.7
"20160703",44.4
"20160704",42
"20160705",45.925
"20160706",44.9
"20160707",49.4
"20160708",44.7
"20160709",45.2
"20160710",47.55
"20160711",53.175
"20160712",56.825
"20160713",54.1
"20160714",52.45
"20160715",51.275
"20160716",51.325
"20160717",49.925
"20160718",49.875
"20160719",48.75
"20160720",53.7
"20160721",57.25
"20160722",52.1
"20160723",53.35
"20160724",54.7
"20160725",52.4
"20160726",51.175
"20160727",50.775
"20160728",50
"20160729",57.225
"20160730",55.375
"20160731",57.975
"20160801",55.65
"20160802",55.2
"20160803",53.8
"20160804",52.5
"20160805",52
"20160806",55.075
"20160807",52.275
"20160808",50.275
"20160809",51.075
"20160810",50.425
"20160811",50.5
"20160812",49.5
"20160813",52.2
"20160814",50.7
"20160815",49.6
"20160816",49.225
"20160817",48.675
"20160818",48.05
"20160819",46.65
"20160820",45.45
"20160821",43.95
"20160822",43.875
"20160823",42.85
"20160824",41.95
"20160825",40
"20160826",39.925
"20160827",37.775
"20160828",37.25
"20160829",35.9
"20160830",50.475
"20160831",47.5
"20160901",43.65
"20160902",38.025
"20160903",35.45
"20160904",34.225
"20160905",32.9
"20160906",32.4
"20160907",31.875
"20160908",31.25
"20160909",31.125
"20160910",30.925
"20160911",30.725
"20160912",30.5
"20160913",29.675
"20160914",45.825
"20160915",54.25
"20160916",59.35
"20160917",56.2
"20160918",53.15
"20160919",52.05
"20160920",52.7
"20160921",51.6
"20160922",55.7
"20160923",53.075
"20160924",53.025
"20160925",54.95
"20160926",54.025
"20160927",54.225
"20160928",52.8
"20160929",52.3
"20160930",51.9
"20161001",52.3
"20161002",50.75
"20161003",51.05
"20161004",50.3
"20161005",49.8
"20161006",48.875
"20161007",47.775
"20161008",48.5
"20161009",48.95
"20161010",48.2
"20161011",47.6
"20161012",47.2
"20161013",47.65
"20161014",47.5
"20161015",46.525
"20161016",46.3
"20161017",47.45
"20161018",46.625
"20161019",46.35
"20161020",46.4
"20161021",45.75
"20161022",46.1
"20161023",46.575
"20161024",46.225
"20161025",45.425
"20161026",44.55
"20161027",44.95
"20161028",44.2
"20161103",44.1541666666667
"20161104",43.7
"20161105",43
"20161106",43.1
"20161107",42
"20161108",42.675
"20161109",42.25
"20161110",41.925
"20161111",41.85
"20161112",41.325
"20161113",41.025
"20161114",41.8
"20161115",41.95
"20161116",41.35
"20161117",40.5
"20161118",41.025
"20161119",39.825
"20161120",39.175
"20161121",39.5
"20161122",39.75
"20161123",39.3
"20161124",39.075
"20161125",38.25
"20161126",38.075
"20161127",38.575
"20161128",38.1
"20161129",37.925
"20161201",37.3
"20161202",37.25
"20161203",37.3
"20161204",37.25
"20161205",36.2
"20161206",36.7
"20161207",35.5
"20161208",35.125
"20161209",34.225
"20161210",33.6
"20161211",33.45
"20161212",32.925
"20161214",33.1
"20161215",32.325
"20161216",32.025
"20161217",31.35
"20161218",30.775
"20161219",30.05
"20161220",29.55
"20161221",29
"20161222",28.725
"20161223",27.975
"20161224",27.625
"20161225",27.15
"20161226",27.075
"20161227",26.65
"20161228",25.85
"20161229",25.15
"20161230",24.9
"20161231",24.65
"20170101",24.2
"20170102",23.75
"20170103",23.35
"20170104",22.95
"20170105",22.5
"20170106",22.375
"20170107",22.55
"20170108",22.05
"20170109",21.775
"20170110",21.775
"20170111",21.3
"20170112",20.875
"20170113",20.8
"20170114",20.85
"20170115",20.425
"20170116",20.125
"20170117",20
"20170118",19.9
"20170119",19.65
"20170120",19.25
"20170121",19.475
"20170122",19.35
"20170123",19.225
"20170124",18.975
"20170125",18.75
"20170126",18.825
"20170127",18.45
"20170128",18.35
"20170129",18.15
"20170130",17.95
"20170131",17.65
"20170201",17.65
"20170202",17.55
"20170203",17.6
"20170204",17.275
"20170205",17.025
"20170206",16.9
"20170207",16.95
"20170209",16.7125
"20170210",16.525
"20170211",16.4
"20170212",16.15
"20170213",16.05
"20170214",15.85
"20170215",15.85
"20170216",15.75
"20170217",15.65
"20170218",15.725
"20170219",15.675
"20170220",15.65
"20170221",15.65
"20170222",15.65
"20170223",15.725
"20170224",15.65
"20170225",15.45
"20170226",15.3
"20170227",15.1
"20170228",15
"20170301",15.075
"20170302",15.1
"20170303",14.975
"20170304",14.65
"20170305",14.65
"20170306",14.75
"20170307",14.65
"20170309",14.2625
"20170310",14.15
"20170311",13.75
"20170312",13.55
"20170313",13.6
"20170314",13.675
"20170315",13.775
"20170316",13.8
"20170317",29.975
"20170318",31.325
"20170319",30.8
"20170320",30.75
"20170321",30.375
"20170322",30.275
"20170323",29.7
"20170324",29.775
"20170325",29.45
"20170326",29.275
"20170327",28.725
"20170328",28.45
"20170329",28.25
"20170330",27.925
"20170331",27.275
"20170401",26.45
"20170402",25.45
"20170403",24.775
"20170404",24
"20170405",23.725
"20170406",22.925
"20170407",22.15
"20170408",21.125
"20170409",20.4
"20170410",19.375
"20170411",18.4
"20170412",17.75
"20170413",16.95
"20170414",16.8
"20170415",16.35
"20170416",16.15
"20170417",15.9
"20170418",15.65
"20170419",15.5
"20170420",15.425
"20170421",15.175
"20170422",14.85
"20170423",14.65
"20170424",14.425
"20170425",14.375
"20170426",14.325
"20170427",14.05
"20170428",14.2
"20170429",13.8
"20170430",18.525
"20170501",22.125
"20170502",23.05
"20170503",23.9
"20170504",23.975
"20170505",23.725
"20170506",24.075
"20170507",23.875
"20170508",40.875
"20170509",39.4
"20170510",38.675
"20170511",38.025
"20170512",36.325
"20170513",37.1
"20170514",35.375
"20170516",35.1875
"20170518",34.85
"20170519",34.15
"20170520",34.3
"20170521",34.325
"20170522",34
"20170523",33.65
"20170524",33.325
"20170525",32.775
"20170526",32.6
"20170527",31.575
"20170528",30.775
"20170529",29.95
"20170530",28.9
"20170531",27.6
"20170601",26.525
"20170602",25.75
"20170603",24.625
"20170604",23.725
"20170605",22.575
"20170606",21.925
"20170607",55.55
"20170608",48.9
"20170609",46.175
"20170610",44.85
"20170611",44.6
"20170612",44.5
"20170613",50.6
"20170614",50.45
"20170615",48.15
"20170616",53.775
"20170617",48.4
"20170618",53.25
"20170619",54.2
"20170620",54.375
"20170621",50.775
"20170622",50.6
"20170623",49.55
"20170624",49.05
"20170625",49.125
"20170626",48.275
"20170627",47
"20170628",46.9
"20170629",46.5
"20170630",46.2
"20170701",46.4
"20170703",44.925
"20170704",44.3
"20170705",43.675
"20170706",42.9
"20170707",42.825
"20170708",41.4
"20170709",39.9
"20170710",50.85
"20170711",47.05
"20170712",46
"20170713",43.65
"20170714",42.275
"20170715",40.9
"20170716",38.8
"20170717",37.2
"20170718",34.9
"20170719",34.6
"20170720",33.6
"20170721",33.1
"20170722",34
"20170723",34.2
"20170724",35
"20170725",34.925
"20170726",34.6
"20170727",34.9
"20170728",34.925
"20170729",35
"20170730",34.65
"20170731",34.9
"20170801",34.4
"20170802",34.625
"20170803",34.65
"20170804",34.3
"20170805",34.4
"20170806",34.275
"20170807",42.7
"20170808",47.3
"20170809",50
"20170810",53.4
"20170811",50.075
"20170812",53.45
"20170813",49.8
"20170814",49.8
"20170815",49.275
"20170816",49.9
"20170817",51.75
"20170818",49.5
"20170819",50.875
"20170820",54.1
"20170821",51
"20170822",50.1
"20170823",49.5
"20170824",55.5
"20170825",53.6
"20170826",53.75
"20170827",52.5
"20170828",55.35
"20170829",55.6
"20170830",54.8
"20170831",52.125
"20170901",50.75
"20170902",49.9
"20170903",49.1
"20170904",49.6
"20170905",48.35
"20170906",48.4
"20170907",47.3
"20170908",58.525
"20170910",54.15
"20170911",54.625
"20170912",52.1
"20170913",51.55
"20170914",59.3
"20170915",54.5
"20170916",52.4
"20170919",54.15
"20170920",51.375
"20170924",51.75
"20170925",54.35
"20170926",54.675
"20170927",52.875
"20170928",56.625
"20170929",57
"20170930",56.2
"20171001",54.55
"20171002",51.9
"20171003",52.4
"20171004",50.7
"20171005",50.3
"20171009",54.0625
"20171010",58.675
"20171013",58.3583333333333
"20171014",57.65
"20171025",52.2318181818182
"20171027",46.6125
"20171031",44.41875
