"Date","sm"
"20160601",50.34
"20160605",48.43125
"20160606",47.625
"20160607",47.95
"20160608",48.025
"20160609",51.2
"20160610",48.5
"20160611",49
"20160612",48.7
"20160613",47.9
"20160615",49.575
"20160616",49.8
"20160617",49.65
"20160618",49
"20160620",50.225
"20160621",50.925
"20160622",50.6
"20160623",50.525
"20160624",49.425
"20160625",50
"20160626",51.4
"20160627",49.1
"20160628",50.25
"20160629",48.925
"20160630",48.55
"20160701",49.325
"20160702",48.225
"20160703",49.2
"20160704",48.4
"20160705",47.425
"20160706",49.2
"20160707",47.7
"20160709",47.425
"20160711",47.65
"20160712",49.2
"20160713",48.525
"20160714",49.35
"20160716",48.9125
"20160930",45.8909090909091
"20161002",46.3
"20161003",46.4
"20161004",45.725
"20161005",45.6
"20161006",44.8
"20161007",45.1
"20161008",44.4
"20161009",42.775
"20161010",41.8
"20161011",42.1
"20161012",41.8
"20161013",40.8
"20161014",40.75
"20161015",39.85
"20161027",36.3645833333333
"20161028",34.1
"20161103",33.2857142857143
"20161105",31.8125
"20161106",31.125
"20161107",31.125
"20161110",30.2583333333333
"20161115",29.735
"20161116",29.775
"20161117",29.7
"20161118",29.2
"20161119",28.525
"20161120",28.3625
"20161121",28.475
"20161122",27.7
"20161123",27.625
"20161124",27.5375
"20161125",27.1
"20161126",27.3
"20161127",26.925
"20161130",26.64375
"20161201",26.3
"20161202",26.125
"20161203",26.65
"20161204",26.9
"20161205",26.4
"20161206",25.975
"20161207",25.775
"20161208",25.95
"20161211",25.1333333333333
"20161212",24.85
"20161213",25.3
"20170120",22.9517857142857
"20170121",22.4
"20170201",22.2479166666667
"20170204",21.525
"20170205",21.4
"20170206",21.3
"20170207",21.25
"20170209",21.2666666666667
"20170210",21.3
"20170215",21.15
"20170216",21.075
"20170218",20.775
"20170225",20.8071428571429
"20170227",20.625
"20170228",20.4333333333333
"20170302",20.3727272727273
"20170304",20.1
"20170305",20.45
"20170306",20.075
"20170307",20.275
"20170309",20.1625
"20170310",20.2
"20170312",19.85
"20170313",19.875
"20170314",19.875
"20170316",20.125
"20170317",19.75
"20170318",19.95
"20170319",19.925
"20170320",19.975
"20170321",20.075
"20170323",20.025
"20170325",19.975
"20170326",20.025
"20170331",19.73
"20170402",19.6
"20170412",19.3375
"20170413",18.925
"20170419",18.8821428571429
"20170505",18.5096153846154
"20170506",18.1
"20170507",17.8
"20170508",17.75
"20170509",17.95
"20170512",18.38125
"20170513",19
"20170523",30.4575
"20170528",34.325
"20170529",34.375
"20170530",34.2
"20170605",34.225
"20170615",33.2125
"20170619",32.55625
"20170627",32.321875
"20170628",32.025
"20170629",31.65
"20170630",31.425
"20170701",31.125
"20170703",31.175
"20170704",31.225
"20170705",31
"20170706",30.5
"20170707",30.775
"20170708",30.825
"20170709",30.975
"20170710",31.125
"20170712",31
"20170713",30.5
"20170714",30.15
"20170715",30.3
"20170716",30.4
"20170717",31.05
"20170719",30.6625
"20170721",32.6625
"20170722",36.85
"20170723",38.35
"20170724",37.7
"20170725",37.05
"20170726",37.525
"20170727",36.55
"20170728",37.1
"20170729",35.95
"20170730",35.55
"20170801",36.05
"20170802",36.1
"20170803",36.15
"20170804",35.1
"20170809",35.705
"20170816",34.3142857142857
"20170817",34.7
"20170818",36.4
"20170823",36.83
"20170828",36.025
"20170829",35.1
"20170830",35.4
"20170831",35.6
"20170901",35.75
"20170902",36.025
"20170903",35.425
"20170906",35.0583333333333
"20170907",34.15
"20170908",34.675
"20170913",37.7708333333333
"20170915",41.0875
"20170919",42.35625
"20170920",41.25
"20170924",40.7875
"20170925",40.5
"20170926",40.075
"20170927",40.9
"20170928",44.5
"20170929",43.275
"20170930",43.225
"20171001",42.4
"20171002",44.95
"20171003",43.5
"20171004",42.85
"20171005",42.825
"20171009",43.44375
"20171010",42.7
"20171013",43.2666666666667
"20171018",44
"20171025",41.6178571428571
"20171027",40.725
"20171031",39.675
"20171102",39.4875
"20171105",39.4083333333333
"20171108",39.5666666666667
"20171109",39.4
"20171110",39.3
"20171111",39.45
"20171112",39.025
"20171113",38.675
"20171114",39.175
"20171115",39.2
"20171116",38.8
"20171117",39.025
"20171118",39.15
"20171119",39.35
"20171120",39.2
"20171121",38.5
"20171122",39
"20171123",39.15
"20171124",38.925
"20171125",38.8
"20171126",38.9
"20171127",38.25
"20171128",38.35
"20171129",38.3
"20171130",38.2
"20171201",38.1
"20171202",38.5
"20171203",38.2
"20171204",38.125
"20171205",38.3
"20171206",37.9
"20171207",38
"20171208",37.8
"20171209",37.65
"20171210",37.6
"20171211",37.025
"20171212",37.25
"20171213",36.875
"20180128",30.5568181818182
"20180208",26.775
"20180211",26.65
"20180221",24.8025
"20180222",23.525
"20180223",23.25
"20180318",20.2272727272727
"20180321",20.575
"20180326",21.845
"20180327",22.75
"20180328",22.9
"20180329",23
"20180330",23.35
"20180331",23.425
"20180402",23.725
"20180404",23.75
"20180406",23.4625
"20180407",23.175
"20180408",22.9375
"20180415",21.775
"20180416",26.225
"20180418",30.9625
"20180419",33.05
"20180424",34.91
"20180425",35.5
"20180426",35.1
"20180427",34.825
"20180428",34.45
"20180429",34.55
"20180430",33.9
"20180609",34.18
"20180613",42.98125
"20180614",42
"20180615",40.425
"20180616",39.7
"20180713",24.0025
"20180716",23.405
"20180717",22.9
"20180730",24.025
"20180801",24.0333333333333
"20180806",24.09
"20180826",24.5545454545455
"20180828",24.325
"20180901",23.925
"20180902",24.025
"20180914",22.4863636363636
"20180926",22.5113636363636
"20180928",22.7625
"20180930",23.0125
"20181001",23.2
"20181002",23.4
"20181003",23.4
"20181004",23.425
"20181005",23.375
"20181006",23.125
"20181007",23
"20181008",22.85
"20181011",22.5833333333333
"20181012",22.5
"20181013",22.025
"20181014",21.9
"20181015",21.725
"20181016",21.275
"20181017",20.675
"20181018",20.55
"20181019",20.375
"20181020",20.45
"20181021",20.475
"20181022",20.625
"20181023",20.7
"20181024",21
"20181025",20.875
"20181026",21.275
"20181027",21.3
"20181028",20.975
"20181029",21.25
"20181030",21
"20181031",20.9
"20181101",21.3
"20181102",21.3
"20181103",21.3
"20181104",20.925
"20181105",20.9
"20181106",20.875
"20181107",20.675
"20181108",20.525
"20181109",20.45
"20181110",19.9
"20181111",19.8
"20181112",19.6
"20181114",19.25
"20181115",18.825
"20181116",18.7
"20181117",18.65
"20181118",18.475
"20181119",18.05
"20181120",17.85
"20181121",17.6
"20181122",17.5
"20181123",17.8
"20181124",17.9
"20181125",17.55
"20181126",17.8
"20181127",17.575
"20181128",17.6
"20181129",17.525
"20181202",17.55
"20181203",17.3
"20181204",17.3
"20181205",17.6
"20181206",17.375
"20181207",17.3
"20181209",17
"20181210",17
"20181217",16.395
"20181224",15.78
"20181229",15.3
"20181230",NA
"20181231",NA
"20190101",NA
