"Date","sm"
"20160512",39.7
"20160513",37.725
"20160514",37.6
"20160515",36.05
"20160516",35.5
"20160517",35.025
"20160518",35.6
"20160519",35.3
"20160520",33.975
"20160521",33.6
"20160522",34.15
"20160523",33.2
"20160524",33.025
"20160525",32.2
"20160526",31.3
"20160527",30.725
"20160528",28.8
"20160529",27.325
"20160530",26.225
"20160531",25.325
"20160601",24.325
"20160602",23.5
"20160603",37.3
"20160604",46.275
"20160605",42.1
"20160606",40.575
"20160607",40
"20160608",40.425
"20160609",40.9
"20160610",39.5
"20160611",39.7
"20160612",38.575
"20160613",37.8
"20160614",38.1
"20160615",38.725
"20160616",38.3
"20160617",38.05
"20160618",37.65
"20160619",44.475
"20160620",46.25
"20160621",43.6
"20160622",46.65
"20160623",43.85
"20160624",42.3
"20160625",41.425
"20160626",41.2
"20160627",40.125
"20160628",45.2
"20160629",43.1
"20160630",42.875
"20160701",43.8
"20160702",43.425
"20160703",41.725
"20160704",41.9
"20160705",41
"20160706",40.075
"20160707",40.1
"20160708",39.6
"20160709",38.7
"20160710",37.825
"20160711",36.2
"20160712",35.4
"20160713",35.4
"20160714",34.6
"20160715",33.5
"20160716",32.9
"20160717",32
"20160718",31.6
"20160719",30.7
"20160720",30.275
"20160721",30.2
"20160722",30.4
"20160723",38.45
"20160724",42.125
"20160725",40.5
"20160726",44.525
"20160727",42.1
"20160728",44.725
"20160729",48.6
"20160730",45.8
"20160731",43.6
"20160801",43.4
"20160802",43.5
"20160803",43.2
"20160804",41.5
"20160805",40.45
"20160806",39.8
"20160807",37.25
"20160808",34.825
"20160809",33.3
"20160810",31.8
"20160811",31
"20160812",30.8
"20160813",30.3
"20160814",29.75
"20160815",29.6
"20160816",29
"20160817",28.5
"20160818",28.5
"20160819",28.4
"20160820",27.875
"20160821",27.525
"20160822",27.25
"20160823",27.125
"20160824",26.65
"20160826",26.25
"20160827",26.15
"20160828",26.1
"20160829",25.6
"20160830",25.8
"20160901",44.25
"20160902",42.2
"20160903",40.7
"20160904",40.025
"20160906",38.3125
"20160907",37.825
"20160908",36.075
"20160909",35.525
"20160910",34.4
"20160911",34.35
"20160912",43.5
"20160913",41.325
"20160914",47.65
"20160915",47.9
"20160916",48.675
"20160917",43.825
"20160918",42.2
"20160919",42.225
"20160920",41.225
"20160921",41.35
"20160922",41.9
"20160923",47.15
"20160924",47.2
"20160925",44
"20160927",43.9
"20160928",46.95
"20160929",43.825
"20160930",42.175
"20161002",44.1625
"20161003",43.425
"20161004",42.3
"20161005",41.5
"20161006",41.5
"20161007",41
"20161008",40.3
"20161009",40.5
"20161011",44.0625
"20161013",41.3125
"20161014",40.525
"20161016",39.9
"20161017",39.15
"20161018",37.5
"20161019",37
"20161020",36.375
"20161021",36.475
"20161022",36.425
"20161023",36.6
"20161024",37.1
"20161025",36.8
"20161026",36.55
"20161027",36.825
"20161028",36.025
"20161103",36.3166666666667
"20161104",35.175
"20161105",34.475
"20161106",34.75
"20161107",34.25
"20161108",33.4
"20161109",33.125
"20161110",33.1
"20161111",32.875
"20161112",32.45
"20161113",32.475
"20161114",32.675
"20161115",32.2
"20161116",32.05
"20161117",31.55
"20161118",30.8
"20161119",30.3
"20161121",29.9125
"20161122",29.9
"20161123",29.25
"20161125",28.9375
"20161127",28.2625
"20161128",27.975
"20161129",27.55
"20161201",27.25
"20161202",26.525
"20161203",26.75
"20161204",26.475
"20161205",25.95
"20161206",25.65
"20161208",24.975
"20161209",24.6
"20161210",24.125
"20161211",23.9
"20161213",24.15
"20161214",24.075
"20161215",23.4
"20161216",23.65
"20161217",24.3
"20161218",24.65
"20161219",24.975
"20161220",25.475
"20161221",25.3
"20161222",25.85
"20161223",26.1
"20161224",26.25
"20161226",26.7375
"20161227",27.1
"20161228",27.325
"20161229",27.45
"20161230",27.85
"20161231",28.1
"20170101",28
"20170102",27.925
"20170103",28.15
"20170104",28.2
"20170105",27.85
"20170106",27.95
"20170107",28
"20170108",28.3
"20170109",28.225
"20170110",28.05
"20170111",28
"20170113",27.6
"20170114",27.65
"20170115",27.1
"20170116",26.875
"20170117",26.55
"20170118",26.35
"20170119",26.15
"20170120",25.3
"20170121",25.025
"20170122",25.125
"20170123",24.8
"20170124",24.425
"20170126",24.225
"20170127",23.7
"20170128",23.225
"20170129",23
"20170131",22.5375
"20170201",22.05
"20170202",21.95
"20170203",21.6
"20170204",21.325
"20170205",21.3
"20170206",21.15
"20170207",20.775
"20170208",20.85
"20170209",20.375
"20170210",20.2
"20170211",20.2
"20170212",19.85
"20170213",19.925
"20170214",19.6
"20170215",19.5
"20170216",19.6
"20170217",19.175
"20170218",18.95
"20170219",19.075
"20170220",18.75
"20170221",19.1
"20170222",18.975
"20170223",18.8
"20170224",18.875
"20170225",18.5
"20170226",18.25
"20170228",17.975
"20170301",17.9
"20170302",18.025
"20170303",17.675
"20170304",17.575
"20170305",17.8
"20170306",17.65
"20170308",17.375
"20170310",17.2625
"20170311",17.075
"20170312",16.675
"20170313",16.8
"20170315",16.8
"20170317",16.675
"20170321",17.24375
"20170323",18.175
"20170324",18.3
"20170326",18.1375
"20170327",17.8
"20170328",17.675
"20170329",17.475
"20170330",17.475
"20170331",17.025
"20170401",17.2
"20170402",17.075
"20170403",16.8
"20170404",16.8
"20170405",16.8
"20170406",16.6
"20170408",16.2625
"20170410",16.0625
"20170411",16
"20170412",15.45
"20170413",15.4
"20170415",15.2625
"20170416",15.4
"20170417",15.375
"20170418",14.925
"20170419",14.95
"20170420",15.275
"20170421",14.95
"20170422",15
"20170423",14.85
"20170424",14.5
"20170425",14.725
"20170426",14.5
"20170427",14.55
"20170428",14.2
"20170429",14.325
