"Date","sm"
"20160529",40.05
"20160530",39.475
"20160531",38.6
"20160601",36.375
"20160602",36.2
"20160603",35.375
"20160604",45.275
"20160605",46.075
"20160606",49.775
"20160607",49.85
"20160608",46.75
"20160609",45.8
"20160610",45.6
"20160611",44.225
"20160612",44.9
"20160613",43.875
"20160614",43.1
"20160615",44.325
"20160616",43.95
"20160617",43.475
"20160618",43.075
"20160619",52.1
"20160620",51.2
"20160621",50.2
"20160622",48.3
"20160623",48.4
"20160624",47.4
"20160625",48.575
"20160626",47.925
"20160627",47.3
"20160628",51.55
"20160629",49.625
"20160630",51.85
"20160701",49.7
"20160702",50.1
"20160703",49.3
"20160704",48.4
"20160705",47.775
"20160706",47.2
"20160707",47.575
"20160708",47.775
"20160709",45.7
"20160710",51.7
"20160711",52.5
"20160712",50.1
"20160713",51.7
"20160714",49.45
"20160715",49.875
"20160716",48.85
"20160717",48.575
"20160718",46.2
"20160719",45.6
"20160720",51.7
"20160721",53.15
"20160722",55.825
"20160723",53.1
"20160724",50.8
"20160725",51.3
"20160726",49.65
"20160727",50.85
"20160728",50.625
"20160729",69.225
"20160730",54.6
"20160731",55.75
"20160801",57.625
"20160802",53.35
"20160803",52.8
"20160804",52.4
"20160805",53.15
"20160806",53.45
"20160807",53.425
"20160808",53.075
"20160809",51.55
"20160810",50.75
"20160811",49.4
"20160812",47.35
"20160813",46.875
"20160814",46.625
"20160815",46.35
"20160816",46.1
"20160817",44.675
"20160818",43.575
"20160819",42.4
"20160820",41.2
"20160821",39.5
"20160822",38.75
"20160823",37.7
"20160824",37.6
"20160825",36.7
"20160826",36.7
"20160827",35.775
"20160828",34.9
"20160829",35.5
"20160830",34.8
"20160831",34.45
"20160901",33.8
"20160902",33.7
"20160903",33.7
"20160904",34
"20160905",33.1
"20160906",33.475
"20160907",33.3
"20160908",33.4
"20160909",33.025
"20160910",32.825
"20160911",32.55
"20160912",31.975
"20160913",32.2
"20160914",55.175
"20160915",61.5
"20160916",53.225
"20160917",53.725
"20160918",52.6
"20160919",53.625
"20160920",53.025
"20160921",63.675
"20160922",55
"20160923",72.6
"20160924",61.075
"20160925",57.175
"20160926",56.1
"20160927",56.75
"20160928",57.8
"20160929",56.375
"20160930",56.25
"20161001",56.35
"20161006",55.95
"20161007",55.975
"20161008",56.25
"20161009",62.625
"20161010",59.2
"20161011",58.4
"20161012",57.125
"20161013",58.15
"20161014",56.4
"20161015",56.925
"20161016",55.675
"20161017",56.15
"20161019",36.35
"20161119",35.4
"20161120",34.85
"20161121",34.5
"20161122",34.05
"20161123",33.95
"20161124",33.475
"20161125",32.65
"20161126",32.3
"20161127",31.85
"20161128",31.5
"20161129",31.25
"20161130",30.7
"20161201",30.3
"20161202",30.1
"20161203",29.7
"20161204",29.775
"20161205",29.4
"20161206",28.4
"20161207",28
"20161208",28
"20161209",27.7
"20161210",27.35
"20161211",27.05
"20161212",26.95
"20161213",27.2
"20161214",27.5
"20161215",26.65
"20161216",26.9
"20161217",26.7
"20161218",26.175
"20161219",25.95
"20161220",25.8
"20161221",25.7
"20161222",25.15
"20161223",24.85
"20161224",24.925
"20161225",24.65
"20161226",24.7
"20161227",24.575
"20161228",24.075
"20161229",24.075
"20161230",23.975
"20161231",23.675
"20170101",23.65
"20170102",23.65
"20170103",23.575
"20170104",22.95
"20170105",22.95
"20170106",22.825
"20170107",22.55
"20170108",22.95
"20170109",22.65
"20170110",22.7
"20170111",22.425
"20170112",22.525
"20170113",22.225
"20170114",22.475
"20170115",22.225
"20170116",22.1
"20170117",21.875
"20170118",21.925
"20170119",21.375
"20170120",21.35
"20170121",21.1
"20170122",21.25
"20170123",21.2
"20170124",20.9
"20170125",20.625
"20170126",20.675
"20170127",20.475
"20170128",20.2
"20170129",20.325
"20170130",19.95
"20170131",19.575
"20170201",19.85
"20170202",19.7
"20170203",19.625
"20170204",19.175
"20170205",19.2
"20170206",18.95
"20170207",19
"20170208",18.9
"20170209",19
"20170210",18.925
"20170211",18.8
"20170212",18.55
"20170213",18.475
"20170214",18.3
"20170215",18.4
"20170216",18
"20170217",17.95
"20170218",17.675
"20170219",17.65
"20170220",17.525
"20170221",17.375
"20170222",17.55
"20170223",17.45
"20170224",17.4
"20170225",17.175
"20170226",16.775
"20170227",16.55
"20170228",16.75
"20170301",16.475
"20170302",16.7
"20170303",16.65
"20170304",16.35
"20170305",16.55
"20170306",16.3
"20170307",16.375
"20170308",16.1
"20170309",16.1
"20170311",16.1875
"20170312",15.65
"20170313",15.6
"20170314",15.775
"20170315",15.95
"20170316",30.375
"20170317",30.375
"20170318",29.875
"20170319",30.325
"20170320",30.55
"20170321",30.225
"20170322",30.425
"20170323",30.25
"20170324",30.4
"20170325",30.225
"20170326",29.95
"20170327",29.75
"20170328",29.35
"20170329",28.2
"20170330",27.025
"20170331",25.675
"20170401",24.05
"20170402",22.75
"20170403",21.125
"20170404",20.05
"20170405",18.975
"20170406",19.15
"20170407",18.7
"20170408",18.2
"20170409",17.625
"20170410",17.275
"20170411",16.825
"20170412",16.15
"20170413",15.95
"20170414",15.8
"20170415",15.5
"20170416",15.25
"20170417",15.05
"20170418",14.675
"20170419",14.6
"20170420",14.475
"20170421",14.4
"20170422",14.375
"20170423",14.175
"20170424",14
"20170425",13.675
"20170426",13.8
"20170427",13.75
"20170428",13.75
"20170429",13.6
"20170430",13.1
"20170501",13.575
"20170502",13.85
"20170503",13.75
"20170504",14.025
"20170505",13.8
"20170506",13.85
"20170507",13.8
"20170508",13.925
"20170509",13.8
"20170510",13.8
