"Date","sm"
"20160919",29.4
"20160920",29.6
"20160921",30.375
"20160922",29.875
"20160923",43.7
"20160924",43.2
"20160925",42.625
"20160926",43.7
"20160927",41.15
"20160928",38.35
"20160929",37
"20160930",36.5
"20161001",36.575
"20161002",36.2
"20161003",35.5
"20161004",35
"20161005",34.225
"20161006",33.6
"20161007",32.775
"20161008",32.2
"20161009",32
"20161010",34.3
"20161011",33.3
"20161012",32.95
"20161013",32.1
"20161014",31.3
"20161015",30.65
"20161016",29.65
"20161017",28.475
"20161018",27.45
"20161019",26.6
"20161020",25.45
"20161021",24.775
"20161022",24.05
"20161023",23
"20161024",22
"20161025",21.175
"20161026",20.225
"20161027",19.75
"20161028",18.8
"20161103",17.2916666666667
"20161104",15.875
"20161105",15.375
"20161106",15.35
"20161107",15
"20161108",14.55
"20161109",14.575
"20161110",14.375
"20161111",14
"20161112",13.825
"20161113",13.75
"20161114",13.775
"20161115",13.425
"20161116",13.4
"20161117",13.225
"20161118",13.25
"20161119",13.05
"20161120",12.9
"20161121",13.05
"20161122",13.3
"20161123",13.25
"20161124",13
"20161125",13.475
"20161126",13.275
"20161127",13.425
"20161128",13.25
"20161129",13.3
"20161130",12.825
"20161201",13.05
"20161202",12.825
"20161203",12.85
"20161204",12.525
"20161205",12.575
"20161206",12.3
"20161207",12.15
"20161208",11.75
"20161209",11.9
"20161210",11.4
"20161211",11.35
"20161212",11.05
"20161213",11.425
"20161214",11.75
"20161215",11.3
"20161216",11.35
"20161217",11.15
"20161218",11.075
"20161219",10.725
"20161220",10.375
"20161221",10.425
"20161222",10.1
"20161223",10.35
"20161224",10.1
"20161225",10
"20161226",9.825
"20161227",10.05
"20161228",9.65
"20161229",9.9
"20161230",9.7
"20161231",9.625
"20170101",9.625
"20170102",9.5
"20170103",9.5
"20170104",9.35
"20170105",9.05
"20170106",9.025
"20170107",9.175
"20170108",9.125
"20170109",9.15
"20170110",9
"20170112",9
"20170113",9.1
"20170114",9.225
"20170115",9.05
"20170116",9.125
"20170117",9
"20170118",8.775
"20170119",8.65
"20170120",8.65
"20170121",8.75
"20170122",8.6
"20170123",8.8
"20170124",8.625
"20170125",8.35
"20170126",8.775
"20170127",8.8
"20170128",8.8
"20170129",8.65
"20170130",8.4
"20170131",8.375
"20170201",8.375
"20170202",8.525
"20170203",8.3
"20170204",8.075
