"Date","sm"
"20160529",26.675
"20160530",24.525
"20160531",22.825
"20160601",21.35
"20160602",19.975
"20160603",18.95
"20160604",18.4
"20160605",18
"20160606",17.35
"20160607",17.6
"20160608",17.45
"20160609",17.7
"20160610",18.2
"20160611",18.1
"20160612",18.2
"20160613",18.2
"20160614",18
"20160615",18.5
"20160616",18.45
"20160617",19
"20160618",18.9
"20160619",45.05
"20160620",55.625
"20160621",51.225
"20160622",49.8
"20160623",49.2
"20160624",49.375
"20160625",49.05
"20160626",48.2
"20160627",47.05
"20160628",46.2
"20160629",45.7
"20160630",45.45
"20160701",44.7
"20160702",44.5
"20160703",45
"20160704",43.325
"20160705",43.2
"20160706",49.8
"20160707",48
"20160708",47.9
"20160709",45.525
"20160710",44.5
"20160711",44
"20160712",44
"20160713",43.4
"20160714",44.75
"20160715",44.1
"20160716",45.375
"20160717",45.2
"20160718",44.5
"20160719",44.65
"20160720",45.9
"20160721",58.275
"20160722",56.975
"20160723",54.55
"20160724",53.1
"20160725",58.15
"20160726",56.675
"20160727",67
"20160728",62.7
"20160729",66.45
"20160730",61.1
"20160731",68.8
"20160801",64.6
"20160802",61
"20160803",60.1
"20160804",59.6
"20160805",59.4
"20160806",58.8
"20160807",57.2
"20160808",55.95
"20160809",55.55
"20160810",55
"20160811",57.4
"20160812",55.325
"20160813",53.925
"20160814",54.5
"20160815",51.6
"20160816",51.9
"20160817",50.6
"20160818",49.325
"20160819",49.95
"20160820",48.9
"20160821",49
"20160822",51.775
"20160823",51.525
"20160824",51.8
"20160825",51.5
"20160826",50.225
"20160827",50.35
"20160828",50.375
"20160829",50.5
"20160830",51.475
"20160831",50
"20160901",60.525
"20160902",62.225
"20160903",58.55
"20160904",57.6
"20160905",57.15
"20160906",57.175
"20160907",56.65
"20160908",57.125
"20160909",55.225
"20160910",56.7
"20160911",56
"20160912",55.75
"20160913",54.45
"20160914",61.475
"20160915",65.45
"20160916",64.2
"20160917",69.925
"20160918",64.4
"20160919",64.7
"20160920",66.1
"20160921",71
"20160922",69.825
"20160923",70.8
"20160924",69.975
"20160925",70.9
"20160926",66.6
"20160927",65
"20160928",63.6
"20160929",62.95
"20160930",61.6
"20161001",63
"20161002",60.075
"20161003",61
"20161004",59.2
"20161005",60.775
"20161006",60.3
"20161007",59.8
"20161008",59.2
"20161009",59.5
"20161010",63
"20161011",60.7
"20161012",60.3
"20161013",58
"20161014",57.7
"20161015",57.6
"20161016",57.025
"20161017",56.65
"20161018",55.2
"20161019",54.7
"20161020",55.925
"20161021",53.5
"20161022",52.675
"20161023",51.475
"20161024",49.9
"20161025",51.3
"20161026",49.2
"20161027",48.925
"20161028",47.425
"20161103",45.05
"20161104",43.8
"20161105",43.05
"20161106",41.85
"20161107",42.8
"20161108",42.3
"20161109",41.65
"20161110",40.475
"20161111",41.4
"20161112",41.025
"20161113",41.5
"20161114",41.175
"20161115",41.225
"20161116",41.1
"20161117",40.9
"20161118",40.5
"20161119",40
"20161120",39.9
"20161121",39.2
"20161122",39.825
"20161123",39.2
"20161124",39.525
"20161125",39.3
"20161126",38.7
"20161127",39.5
"20161128",38.7
"20161129",39
"20161130",38.1
"20161201",38.7
"20161202",37.8
"20161203",38.975
"20161204",39.1
"20161205",39.2
"20161206",38.6
"20161207",37.85
"20161208",37.9
"20161209",37.75
"20161210",37.5
"20161211",37.025
"20161212",36.5
"20161213",36.5
"20161214",37.05
"20161215",37.4
"20161216",37.6
"20161217",37.3
"20161218",36.75
"20161219",36.125
"20161220",35.6
"20161221",34.825
"20161222",34.675
"20161223",34.525
"20161224",33.9
"20161225",33.6
"20161226",33.15
"20161227",33.4
"20161228",33.3
"20161229",32.875
"20161230",32.5
"20161231",32.925
"20170101",32.675
"20170102",32.5
"20170103",32.8
"20170104",31.9
"20170105",31.75
"20170106",31.55
"20170107",31.1
"20170108",31.4
"20170109",31.55
"20170110",31.95
"20170111",31.5
"20170112",31.325
"20170113",31.4
"20170114",30.825
"20170115",31.2
"20170116",31.3
"20170117",31.1
"20170118",30.7
"20170119",30.6
"20170120",30.3
"20170121",30.1
"20170122",29.6
"20170123",30
"20170124",29.325
"20170125",28.6
"20170126",28.35
"20170127",28.3
"20170128",27.7
"20170129",27.2
"20170130",26.45
"20170131",25.8
"20170201",25.425
"20170202",25.2
"20170203",25.325
"20170204",24.25
"20170205",23.1
"20170206",22.875
"20170207",22.85
"20170208",22.55
"20170209",22.2
"20170210",22.075
"20170211",21.8
"20170212",21.15
"20170213",21
"20170214",20.575
"20170215",19.95
"20170216",18.875
"20170217",18.325
"20170218",17.25
"20170219",16.55
"20170220",16.475
"20170221",16.525
"20170222",16.6
"20170223",16.4
"20170224",16.4
"20170225",16.1
"20170226",15.65
"20170227",14.9
"20170228",14.5
"20170301",14.25
"20170302",14.5
"20170303",14
"20170304",13.7
"20170305",14.25
"20170306",14.5
"20170307",14.5
"20170308",15.1
"20170309",14.5
"20170310",14.45
"20170311",14.7
"20170312",14.15
"20170313",13.825
"20170314",14.3
"20170315",15.25
"20170316",14.9
"20170317",15.35
"20170318",14.35
"20170319",14.7
"20170320",14.225
"20170321",13.975
"20170322",13.675
"20170323",13.225
"20170324",13.525
"20170325",13.35
"20170326",13.15
"20170327",13.3
"20170328",13.15
"20170329",13.3
"20170330",13.4
"20170331",13.5
"20170401",12.975
"20170402",13.8
"20170403",13.7
"20170404",13.65
"20170405",13.7
"20170406",13.3
"20170407",13.3
"20170408",13.3
"20170409",13
"20170410",12.5
"20170411",12.225
"20170412",11.4
"20170413",10.925
"20170414",10.85
"20170415",11.05
"20170416",10.725
"20170417",11
"20170418",10.65
"20170419",10.5
"20170420",10.55
"20170421",11.3
"20170422",11.725
"20170423",11.55
"20170425",11.375
"20170426",11.4
"20170427",11.575
"20170428",9.3
"20170429",11.375
"20170501",11.475
"20170502",11.5
"20170503",11.55
"20170504",11.775
"20170505",11.9
"20170506",11.925
"20170507",11.9
"20170508",11.8
"20170509",11.7
"20170510",11.6
"20170511",11.75
"20170512",11.2
"20170514",11.35
"20170516",11.55
"20170517",11.425
"20170518",11.3
"20170519",11.3
"20170520",11.6
"20170521",11.5
"20170522",11.4
"20170523",12.25
"20170524",12.3
"20170525",12.8
"20170526",12.9
"20170527",13
"20170606",12.415
"20170607",12.725
"20170608",15.425
"20170609",16.4
"20170610",17.4
"20170611",17.9
"20170612",48.875
"20170613",53.2
"20170614",49.1
"20170615",47.55
"20170616",53.625
"20170619",50.125
"20170620",50.95
"20170621",47.9
"20170622",43.5
"20170623",38.7
"20170624",36.675
"20170625",34.5
"20170626",33.05
"20170627",32
"20170628",30.975
"20170629",30.5
"20170630",30.675
"20170701",30.2
"20170702",30.125
"20170703",29.6
"20170704",29.9
"20170705",29.6
"20170706",28.725
"20170707",28.85
"20170708",28.5
