"Date","sm"
"20160529",18.575
"20160530",16.725
"20160531",18.975
"20160601",17.5
"20160602",18.3
"20160603",17.325
"20160604",23.375
"20160605",24.775
"20160606",27.9
"20160607",23.75
"20160609",25.2
"20160610",21.25
"20160611",19.975
"20160612",22.3
"20160613",20.8
"20160614",21.5
"20160615",20.1
"20160616",18.65
"20160617",16.775
"20160618",15.175
"20160619",29.425
"20160620",33.975
"20160621",31.5
"20160622",30.325
"20160623",27.7
"20160624",25.425
"20160625",28.05
"20160626",25.55
"20160627",23.9
"20160628",22.35
"20160629",31.325
"20160630",31.55
"20160701",29.5
"20160702",27.9
"20160703",25.4
"20160704",23.775
"20160705",21.675
"20160706",27.25
"20160707",25.1
"20160708",22.85
"20160709",22.3
"20160710",36.95
"20160711",34.85
"20160712",33.5
"20160713",34.85
"20160714",31.8
"20160715",29.65
"20160716",34.575
"20160717",30.25
"20160718",28.825
"20160719",27.625
"20160720",32.925
"20160721",36
"20160722",38.85
"20160723",34.2
"20160724",34.575
"20160725",32.35
"20160726",30.95
"20160727",43.125
"20160728",34.5
"20160729",39.75
"20160730",33.925
"20160731",37.85
"20160801",39
"20160802",36.025
"20160803",34.9
"20160804",36.45
"20160805",34.9
"20160806",32.5
"20160807",31.1
"20160808",30.1
"20160809",28.7
"20160810",28.2
"20160811",27.8
"20160812",26.7
"20160813",30
"20160814",28.125
"20160815",27.15
"20160816",26.3
"20160817",25.35
"20160818",24.6
"20160819",24
"20160820",23.35
"20160821",22.475
"20160822",21.675
"20160823",20.95
"20160824",20.9
"20160825",20.9
"20160826",20.35
"20160827",19.725
"20160828",19.3
"20160829",19.2
"20160830",19.65
"20160831",30.925
"20160901",31.825
"20160902",32.45
"20160903",29.2
"20160904",30.175
"20160905",27.55
"20160906",26.55
"20160907",25.725
"20160908",25.3
"20160909",24.85
"20160910",24.225
"20160911",24
"20160912",23.525
"20160913",23.3
"20160914",38.35
"20160915",36.675
"20160916",33.7
"20160917",34.65
"20160918",32.9
"20160919",31.775
"20160920",32.375
"20160921",39.275
"20160922",33.05
"20160923",42.7
"20160924",36.075
"20160925",35.225
"20160926",37.55
"20160927",32.325
"20160928",29.85
"20160929",28.425
"20160930",27.35
"20161001",42.75
"20161002",34.7
"20161003",32
"20161004",30
"20161005",29.1
"20161006",28.35
"20161007",27.425
"20161008",26.825
"20161009",35.825
"20161010",34.275
"20161011",31.2
"20161012",29.525
"20161013",28.15
"20161016",26.2666666666667
"20161017",24.6
"20161018",24.175
"20161019",23.55
"20161020",23.25
"20161021",22.325
"20161022",21.325
"20161023",21.175
"20161024",20.725
"20161025",20.15
"20161026",19.8
"20161027",19.35
"20161028",18.65
"20161103",17.9458333333333
"20161104",16.6
"20161105",16.025
"20161106",15.775
"20161107",15.25
"20161108",15.1
"20161109",14.775
"20161110",14.575
"20161111",14.2
"20161112",14.05
"20161113",14
"20161114",14.1
"20161115",14.25
"20161116",14
"20161117",13.75
"20161118",13.75
"20161119",13.5
"20161120",13.35
"20161121",13.475
"20161122",13.2
"20161123",13.15
"20161124",13.225
"20161125",13.05
"20161126",13.1
"20161127",12.7
"20161128",13
"20161129",12.875
"20161130",12.65
"20161202",12.7125
"20161203",12.9
"20161204",12.95
"20161205",13
"20161206",12.65
"20161207",12.55
"20161208",12.55
"20161209",12.35
"20161210",12.25
"20161211",12.2
"20161212",12.475
"20161213",12.5
"20161214",12.8
"20161215",12.55
"20161216",12.75
"20161217",12.6
"20161218",12.325
"20161219",12.3
"20161220",12.2
"20161221",12.15
"20161222",12.15
"20161223",12.05
"20161224",12
"20161225",11.9
"20161226",12.075
"20161227",11.9
"20161228",11.95
"20161229",11.9
"20161230",12.025
"20161231",12
"20170101",12.025
"20170102",11.85
"20170103",11.8
"20170104",11.5
"20170105",11.65
"20170106",11.55
"20170107",11.525
"20170108",11.6
"20170109",11.5
"20170110",11.7
"20170111",11.475
"20170112",11.5
"20170113",11.325
"20170114",11.75
"20170115",11.6
"20170116",11.6
"20170117",11.35
"20170118",11.475
"20170119",11.325
"20170120",11.175
"20170121",11.075
"20170122",11
"20170123",11.1
"20170124",11.25
"20170125",10.95
"20170126",11.3
"20170127",10.95
"20170128",10.9
"20170129",10.8
"20170130",10.65
"20170131",10.45
"20170201",10.625
"20170202",10.6
"20170203",10.55
"20170204",10.15
"20170205",10.3
"20170206",10.05
"20170207",10.1
"20170208",10.175
"20170209",10
"20170210",10.1
"20170211",9.75
"20170212",9.625
"20170213",9.675
"20170214",9.7
"20170215",9.725
"20170216",9.6
"20170217",9.375
"20170218",9.45
"20170219",9.2
"20170221",9.2
"20170222",9.15
"20170223",9.05
"20170224",9
"20170225",8.75
"20170226",8.625
"20170227",8.7
"20170228",8.75
"20170301",8.7
"20170302",8.5
"20170303",8.4
"20170304",8.475
"20170305",8.4
"20170306",8.3
"20170307",8.325
"20170308",8.2
"20170309",8.25
"20170310",8.2
"20170311",8.175
"20170312",8
"20170313",8
"20170314",8.2
"20170315",23.325
"20170316",25.45
"20170317",20.975
"20170318",19.5
"20170319",18.475
"20170320",16.975
"20170321",15.375
"20170322",14.55
"20170323",14
"20170324",13.525
"20170325",13.3
"20170326",13.075
"20170327",12.725
"20170328",12.35
"20170329",12.25
"20170330",11.9
"20170331",11.65
"20170401",11.5
"20170402",20
"20170403",17.7
"20170404",15.975
"20170405",14.225
"20170406",13.45
"20170407",13.05
"20170408",12.7
"20170409",12.325
"20170410",11.85
"20170411",11.55
"20170412",11.2
"20170413",10.9
"20170414",10.75
"20170425",9.54545454545454
"20170426",8.575
"20170427",8.45
"20170428",8.55
"20170429",9.85
"20170430",12.025
"20170501",12.4
"20170502",12.325
"20170503",12.075
"20170504",11.675
"20170505",11.3
"20170506",11
"20170507",10.3
"20170508",10.1
"20170509",10.15
"20170510",9.85
"20170511",9.35
"20170512",9.325
"20170513",9.35
"20170514",9.1
"20170515",8.9
"20170516",9
"20170517",9.1
"20170518",8.875
"20170519",8.85
"20170520",8.7
"20170521",8.35
"20170522",8.325
"20170523",8.15
"20170524",8.4
"20170525",8.3
"20170526",8
"20170527",8.35
"20170528",8.15
"20170529",8.15
"20170530",7.75
"20170531",8.125
"20170601",8.2
"20170602",7.9
"20170603",8.25
"20170604",8.05
"20170605",8.15
"20170606",8.225
"20170607",26.15
"20170608",22.025
"20170609",23.55
"20170610",25.05
"20170611",26.1
"20170612",33.6
"20170613",30.95
"20170614",27.1
"20170615",25.5
"20170616",29.325
"20170618",28.25
"20170619",30.075
"20170620",29.2
"20170621",26.5
"20170622",25
"20170623",24.15
"20170624",26.925
"20170625",24.525
"20170626",23.125
"20170627",22.925
"20170628",23
"20170629",23.6
"20170630",23.4
"20170701",22.75
"20170702",22.05
"20170703",21.125
"20170704",20.4
"20170705",20.1
"20170706",26.4
"20170707",24.2
"20170708",23.4
"20170709",22.65
"20170710",21.375
"20170711",20.575
"20170712",19.825
"20170713",19.575
"20170714",18.75
"20170715",18.45
"20170716",17.725
"20170717",27.375
"20170718",30.3
"20170719",31.4
"20170720",30.9
"20170721",30.6
"20170722",30.225
"20170723",27.75
"20170724",27.25
"20170725",26.7
"20170726",25.925
"20170727",25.6
"20170728",24.925
"20170729",24.5
"20170730",24.45
"20170731",23.7
"20170817",25.0704545454545
"20170818",30.075
"20170819",30.4
"20170820",32.025
"20170821",30.9
"20170822",31.45
"20170823",29.5
"20170824",28.25
"20170825",32.85
"20170826",32.275
"20170827",32.1
"20170828",32.725
"20170829",32.7
"20170830",33.45
"20170831",31.8
"20170901",30.25
"20170902",28.25
"20170903",25.95
"20170904",24.175
"20170905",23.4
"20170906",22.75
"20170907",22
"20170908",31.85
"20170909",30.6
"20170910",29.575
"20170911",28.4
"20170912",27.45
"20170913",26
"20170914",33.65
"20170915",33.025
"20170916",33.6
"20170917",32.025
"20170918",33.8
"20170919",32.9
"20170920",32.325
"20170921",34.05
"20170922",33.5
"20170923",33.8
"20170924",32.475
"20170925",31.275
"20170926",30.2
"20170927",29.2
"20170928",28.1
"20170929",27.075
"20170930",26
"20171001",24.9
"20171002",23.625
"20171008",31.85
"20171009",29.1
"20171010",34.9
"20171011",32.7
"20171012",31.65
"20171013",33.85
"20171014",32.625
"20171015",32.6
"20171016",33.525
"20171017",32.7
"20171018",31.4
"20171019",30.325
"20171020",28.9
"20171021",27.6
"20171022",26.4
"20171023",26
"20171024",24.4
"20171025",23.25
"20171026",22.4
"20171027",21.9
"20171028",21.5
"20171029",21.1
"20171030",20.75
"20171031",20.225
"20171101",19.775
"20171102",19.4
"20171103",18.85
"20171104",18.575
"20171105",18.4
"20171106",18
"20171107",17.55
"20171108",17.45
"20171109",16.925
"20171110",16.7
"20171111",16.475
"20171112",16.25
"20171113",16.15
"20171114",16
"20171115",16
"20171116",15.925
"20171117",16.05
"20171118",16.05
"20171119",16
"20171120",16.1
"20171121",15.85
"20171122",15.9
"20171123",15.85
"20171124",16.1
"20171125",16.375
"20171126",16.05
"20171127",15.95
"20171128",15.85
"20171129",15.725
"20180107",13.9863636363636
"20180108",13.95
"20180109",13.775
"20180110",13.9
"20180111",13.75
"20180112",13.85
"20180113",13.8
"20180114",13.875
"20180115",13.8
"20180116",13.9
"20180117",13.725
"20180118",13.45
"20180119",13.45
"20180120",13.3
"20180121",13.3
"20180122",13.3
"20180123",13.3
"20180124",13.25
"20180125",13.225
"20180126",13.05
"20180127",13.2
"20180128",13.175
"20180129",13.2
"20180130",13.125
"20180131",13
"20180201",12.9
"20180202",12.85
"20180215",12.7704545454545
"20180216",12.675
"20180217",12.475
"20180218",12.55
"20180219",12.65
"20180220",12.55
"20180221",12.55
"20180222",12.6
"20180223",12.45
"20180224",12.275
"20180225",12.3
"20180226",12.1
"20180227",12.05
"20180228",12
"20180301",11.95
"20180302",11.8
"20180303",11.75
"20180304",11.85
"20180305",11.8
"20180306",11.6
"20180307",11.6
"20180308",11.6
"20180309",11.425
"20180310",11.4
"20180311",11.6
"20180312",11.35
"20180313",11.25
"20180314",11.3
"20180315",11.35
"20180316",11.175
"20180317",10.9
"20180318",11.15
"20180319",11.4
"20180320",11.2
"20180321",11.25
"20180322",11.125
"20180323",11.175
"20180324",NA
"20180325",10.85
"20180326",10.75
"20180327",10.75
"20180328",10.6
"20180329",10.6
"20180330",10.625
"20180331",10.55
"20180401",10.5
"20180402",10.5
"20180403",10.5
"20180404",10.55
"20180405",10.325
"20180406",10.1
"20180407",26.4
"20180408",23.9
"20180409",22.325
"20180410",20.15
"20180411",18.625
"20180412",16.875
"20180413",15.925
